2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
7:30.53,10:28.24,11:57.93,11:15.98,18:06.47,38:18.15,830
7:30.78,10:28.59,11:58.41,11:16.35,18:07.08,38:19.47,829
7:31.04,10:28.93,11:58.89,11:16.73,18:07.69,38:20.80,828
7:31.30,10:29.28,11:59.37,11:17.10,18:08.31,38:22.13,827
7:31.56,10:29.62,11:59.84,11:17.47,18:08.92,38:23.46,826
7:31.82,10:29.97,12:00.32,11:17.85,18:09.53,38:24.79,825
7:32.08,10:30.31,12:00.80,11:18.22,18:10.14,38:26.12,824
7:32.34,10:30.66,12:01.28,11:18.60,18:10.76,38:27.45,823
7:32.60,10:31.01,12:01.76,11:18.97,18:11.37,38:28.78,822
7:32.86,10:31.35,12:02.24,11:19.35,18:11.98,38:30.12,821
7:33.12,10:31.70,12:02.72,11:19.73,18:12.60,38:31.45,820
7:33.38,10:32.04,12:03.20,11:20.10,18:13.21,38:32.79,819
7:33.64,10:32.39,12:03.68,11:20.48,18:13.83,38:34.12,818
7:33.90,10:32.74,12:04.16,11:20.85,18:14.44,38:35.46,817
7:34.16,10:33.09,12:04.64,11:21.23,18:15.06,38:36.80,816
7:34.42,10:33.43,12:05.12,11:21.61,18:15.67,38:38.13,815
7:34.68,10:33.78,12:05.60,11:21.99,18:16.29,38:39.47,814
7:34.95,10:34.13,12:06.09,11:22.36,18:16.91,38:40.81,813
7:35.21,10:34.48,12:06.57,11:22.74,18:17.52,38:42.15,812
7:35.47,10:34.83,12:07.05,11:23.12,18:18.14,38:43.50,811
7:35.73,10:35.17,12:07.53,11:23.50,18:18.76,38:44.84,810
7:35.99,10:35.52,12:08.02,11:23.88,18:19.38,38:46.18,809
7:36.26,10:35.87,12:08.50,11:24.25,18:19.99,38:47.52,808
7:36.52,10:36.22,12:08.98,11:24.63,18:20.61,38:48.87,807
7:36.78,10:36.57,12:09.47,11:25.01,18:21.23,38:50.22,806
7:37.04,10:36.92,12:09.95,11:25.39,18:21.85,38:51.56,805
7:37.31,10:37.27,12:10.44,11:25.77,18:22.47,38:52.91,804
7:37.57,10:37.62,12:10.92,11:26.15,18:23.09,38:54.26,803
7:37.83,10:37.97,12:11.41,11:26.53,18:23.71,38:55.61,802
7:38.09,10:38.32,12:11.89,11:26.91,18:24.34,38:56.96,801
7:38.36,10:38.67,12:12.38,11:27.29,18:24.96,38:58.31,800
7:38.62,10:39.02,12:12.87,11:27.67,18:25.58,38:59.66,799
7:38.89,10:39.37,12:13.35,11:28.05,18:26.20,39:01.01,798
7:39.15,10:39.72,12:13.84,11:28.43,18:26.83,39:02.36,797
7:39.41,10:40.08,12:14.33,11:28.82,18:27.45,39:03.72,796
7:39.68,10:40.43,12:14.81,11:29.20,18:28.07,39:05.07,795
7:39.94,10:40.78,12:15.30,11:29.58,18:28.70,39:06.43,794
7:40.21,10:41.13,12:15.79,11:29.96,18:29.32,39:07.78,793
7:40.47,10:41.48,12:16.28,11:30.34,18:29.95,39:09.14,792
7:40.74,10:41.84,12:16.77,11:30.73,18:30.57,39:10.50,791
7:41.00,10:42.19,12:17.25,11:31.11,18:31.20,39:11.86,790
7:41.27,10:42.54,12:17.74,11:31.49,18:31.82,39:13.22,789
7:41.53,10:42.90,12:18.23,11:31.88,18:32.45,39:14.58,788
7:41.80,10:43.25,12:18.72,11:32.26,18:33.08,39:15.94,787
7:42.06,10:43.60,12:19.21,11:32.64,18:33.70,39:17.30,786
7:42.33,10:43.96,12:19.70,11:33.03,18:34.33,39:18.67,785
7:42.60,10:44.31,12:20.19,11:33.41,18:34.96,39:20.03,784
7:42.86,10:44.67,12:20.69,11:33.80,18:35.59,39:21.40,783
7:43.13,10:45.02,12:21.18,11:34.18,18:36.22,39:22.76,782
7:43.40,10:45.38,12:21.67,11:34.57,18:36.84,39:24.13,781
7:43.66,10:45.73,12:22.16,11:34.95,18:37.47,39:25.50,780
7:43.93,10:46.09,12:22.65,11:35.34,18:38.10,39:26.87,779
7:44.20,10:46.44,12:23.15,11:35.72,18:38.73,39:28.24,778
7:44.46,10:46.80,12:23.64,11:36.11,18:39.37,39:29.61,777
7:44.73,10:47.15,12:24.13,11:36.50,18:40.00,39:30.98,776
7:45.00,10:47.51,12:24.63,11:36.88,18:40.63,39:32.35,775
7:45.27,10:47.87,12:25.12,11:37.27,18:41.26,39:33.72,774
7:45.53,10:48.22,12:25.61,11:37.66,18:41.89,39:35.10,773
7:45.80,10:48.58,12:26.11,11:38.04,18:42.53,39:36.47,772
7:46.07,10:48.94,12:26.60,11:38.43,18:43.16,39:37.85,771
7:46.34,10:49.30,12:27.10,11:38.82,18:43.79,39:39.23,770
7:46.61,10:49.65,12:27.59,11:39.21,18:44.43,39:40.60,769
7:46.88,10:50.01,12:28.09,11:39.60,18:45.06,39:41.98,768
7:47.15,10:50.37,12:28.59,11:39.98,18:45.70,39:43.36,767
7:47.42,10:50.73,12:29.08,11:40.37,18:46.33,39:44.74,766
7:47.68,10:51.09,12:29.58,11:40.76,18:46.97,39:46.12,765
7:47.95,10:51.45,12:30.08,11:41.15,18:47.60,39:47.50,764
7:48.22,10:51.81,12:30.57,11:41.54,18:48.24,39:48.89,763
7:48.49,10:52.16,12:31.07,11:41.93,18:48.88,39:50.27,762
7:48.76,10:52.52,12:31.57,11:42.32,18:49.51,39:51.66,761
7:49.03,10:52.88,12:32.07,11:42.71,18:50.15,39:53.04,760
7:49.30,10:53.24,12:32.57,11:43.10,18:50.79,39:54.43,759
7:49.58,10:53.60,12:33.07,11:43.49,18:51.43,39:55.82,758
7:49.85,10:53.96,12:33.57,11:43.88,18:52.07,39:57.20,757
7:50.12,10:54.33,12:34.07,11:44.28,18:52.71,39:58.59,756
7:50.39,10:54.69,12:34.57,11:44.67,18:53.35,39:59.98,755
7:50.66,10:55.05,12:35.07,11:45.06,18:53.99,40:01.38,754
7:50.93,10:55.41,12:35.57,11:45.45,18:54.63,40:02.77,753
7:51.20,10:55.77,12:36.07,11:45.84,18:55.27,40:04.16,752
7:51.47,10:56.13,12:36.57,11:46.24,18:55.91,40:05.55,751
7:51.75,10:56.50,12:37.07,11:46.63,18:56.55,40:06.95,750
7:52.02,10:56.86,12:37.57,11:47.02,18:57.20,40:08.34,749
7:52.29,10:57.22,12:38.08,11:47.42,18:57.84,40:09.74,748
7:52.56,10:57.58,12:38.58,11:47.81,18:58.48,40:11.14,747
7:52.84,10:57.95,12:39.08,11:48.20,18:59.13,40:12.54,746
7:53.11,10:58.31,12:39.59,11:48.60,18:59.77,40:13.94,745
7:53.38,10:58.67,12:40.09,11:48.99,19:00.42,40:15.34,744
7:53.66,10:59.04,12:40.59,11:49.39,19:01.06,40:16.74,743
7:53.93,10:59.40,12:41.10,11:49.78,19:01.71,40:18.14,742
7:54.20,10:59.77,12:41.60,11:50.18,19:02.35,40:19.55,741
7:54.48,11:00.13,12:42.11,11:50.57,19:03.00,40:20.95,740
7:54.75,11:00.50,12:42.61,11:50.97,19:03.65,40:22.35,739
7:55.03,11:00.86,12:43.12,11:51.37,19:04.29,40:23.76,738
7:55.30,11:01.23,12:43.63,11:51.76,19:04.94,40:25.17,737
7:55.57,11:01.59,12:44.13,11:52.16,19:05.59,40:26.58,736
7:55.85,11:01.96,12:44.64,11:52.56,19:06.24,40:27.99,735
7:56.12,11:02.32,12:45.15,11:52.95,19:06.89,40:29.40,734
7:56.40,11:02.69,12:45.65,11:53.35,19:07.54,40:30.81,733
7:56.68,11:03.06,12:46.16,11:53.75,19:08.19,40:32.22,732
7:56.95,11:03.42,12:46.67,11:54.15,19:08.84,40:33.63,731
7:57.23,11:03.79,12:47.18,11:54.55,19:09.49,40:35.04,730
7:57.50,11:04.16,12:47.69,11:54.94,19:10.14,40:36.46,729
7:57.78,11:04.53,12:48.20,11:55.34,19:10.79,40:37.88,728
7:58.06,11:04.89,12:48.71,11:55.74,19:11.44,40:39.29,727
7:58.33,11:05.26,12:49.22,11:56.14,19:12.09,40:40.71,726
7:58.61,11:05.63,12:49.73,11:56.54,19:12.75,40:42.13,725
7:58.89,11:06.00,12:50.24,11:56.94,19:13.40,40:43.55,724
7:59.16,11:06.37,12:50.75,11:57.34,19:14.06,40:44.97,723
7:59.44,11:06.74,12:51.26,11:57.74,19:14.71,40:46.39,722
7:59.72,11:07.11,12:51.77,11:58.14,19:15.36,40:47.81,721
8:00.00,11:07.48,12:52.28,11:58.54,19:16.02,40:49.24,720
8:00.27,11:07.85,12:52.80,11:58.94,19:16.68,40:50.66,719
8:00.55,11:08.22,12:53.31,11:59.35,19:17.33,40:52.09,718
8:00.83,11:08.59,12:53.82,11:59.75,19:17.99,40:53.51,717
8:01.11,11:08.96,12:54.34,12:00.15,19:18.65,40:54.94,716
8:01.39,11:09.33,12:54.85,12:00.55,19:19.30,40:56.37,715
8:01.67,11:09.70,12:55.36,12:00.96,19:19.96,40:57.80,714
8:01.94,11:10.07,12:55.88,12:01.36,19:20.62,40:59.23,713
8:02.22,11:10.44,12:56.39,12:01.76,19:21.28,41:00.66,712
8:02.50,11:10.81,12:56.91,12:02.17,19:21.94,41:02.09,711
8:02.78,11:11.19,12:57.42,12:02.57,19:22.60,41:03.53,710
8:03.06,11:11.56,12:57.94,12:02.97,19:23.26,41:04.96,709
8:03.34,11:11.93,12:58.46,12:03.38,19:23.92,41:06.40,708
8:03.62,11:12.31,12:58.97,12:03.78,19:24.58,41:07.84,707
8:03.90,11:12.68,12:59.49,12:04.19,19:25.24,41:09.27,706
8:04.18,11:13.05,13:00.01,12:04.59,19:25.90,41:10.71,705
8:04.46,11:13.43,13:00.53,12:05.00,19:26.57,41:12.15,704
8:04.75,11:13.80,13:01.04,12:05.40,19:27.23,41:13.59,703
8:05.03,11:14.17,13:01.56,12:05.81,19:27.89,41:15.03,702
8:05.31,11:14.55,13:02.08,12:06.22,19:28.56,41:16.48,701
8:05.59,11:14.92,13:02.60,12:06.62,19:29.22,41:17.92,700
8:05.87,11:15.30,13:03.12,12:07.03,19:29.89,41:19.37,699
8:06.15,11:15.68,13:03.64,12:07.44,19:30.55,41:20.81,698
8:06.44,11:16.05,13:04.16,12:07.85,19:31.22,41:22.26,697
8:06.72,11:16.43,13:04.68,12:08.25,19:31.89,41:23.71,696
8:07.00,11:16.80,13:05.20,12:08.66,19:32.55,41:25.16,695
8:07.28,11:17.18,13:05.73,12:09.07,19:33.22,41:26.61,694
8:07.57,11:17.56,13:06.25,12:09.48,19:33.89,41:28.06,693
8:07.85,11:17.93,13:06.77,12:09.89,19:34.56,41:29.51,692
8:08.13,11:18.31,13:07.29,12:10.30,19:35.23,41:30.96,691
8:08.42,11:18.69,13:07.82,12:10.71,19:35.90,41:32.42,690
8:08.70,11:19.07,13:08.34,12:11.12,19:36.57,41:33.87,689
8:08.98,11:19.44,13:08.86,12:11.53,19:37.24,41:35.33,688
8:09.27,11:19.82,13:09.39,12:11.94,19:37.91,41:36.78,687
8:09.55,11:20.20,13:09.91,12:12.35,19:38.58,41:38.24,686
8:09.84,11:20.58,13:10.44,12:12.76,19:39.25,41:39.70,685
8:10.12,11:20.96,13:10.96,12:13.17,19:39.92,41:41.16,684
8:10.41,11:21.34,13:11.49,12:13.58,19:40.59,41:42.63,683
8:10.69,11:21.72,13:12.02,12:14.00,19:41.27,41:44.09,682
8:10.98,11:22.10,13:12.54,12:14.41,19:41.94,41:45.55,681
8:11.26,11:22.48,13:13.07,12:14.82,19:42.62,41:47.02,680
8:11.55,11:22.86,13:13.60,12:15.23,19:43.29,41:48.48,679
8:11.84,11:23.24,13:14.12,12:15.65,19:43.97,41:49.95,678
8:12.12,11:23.62,13:14.65,12:16.06,19:44.64,41:51.42,677
8:12.41,11:24.00,13:15.18,12:16.48,19:45.32,41:52.89,676
8:12.70,11:24.39,13:15.71,12:16.89,19:45.99,41:54.36,675
8:12.98,11:24.77,13:16.24,12:17.30,19:46.67,41:55.83,674
8:13.27,11:25.15,13:16.77,12:17.72,19:47.35,41:57.30,673
8:13.56,11:25.53,13:17.30,12:18.13,19:48.03,41:58.77,672
8:13.85,11:25.92,13:17.83,12:18.55,19:48.71,42:00.25,671
8:14.13,11:26.30,13:18.36,12:18.97,19:49.39,42:01.73,670
8:14.42,11:26.68,13:18.89,12:19.38,19:50.07,42:03.20,669
8:14.71,11:27.07,13:19.42,12:19.80,19:50.75,42:04.68,668
8:15.00,11:27.45,13:19.95,12:20.21,19:51.43,42:06.16,667
8:15.29,11:27.83,13:20.49,12:20.63,19:52.11,42:07.64,666
8:15.58,11:28.22,13:21.02,12:21.05,19:52.79,42:09.12,665
8:15.87,11:28.60,13:21.55,12:21.47,19:53.47,42:10.60,664
8:16.15,11:28.99,13:22.09,12:21.88,19:54.16,42:12.09,663
8:16.44,11:29.38,13:22.62,12:22.30,19:54.84,42:13.57,662
8:16.73,11:29.76,13:23.16,12:22.72,19:55.52,42:15.06,661
8:17.02,11:30.15,13:23.69,12:23.14,19:56.21,42:16.54,660
8:17.31,11:30.53,13:24.23,12:23.56,19:56.89,42:18.03,659
8:17.60,11:30.92,13:24.76,12:23.98,19:57.58,42:19.52,658
8:17.90,11:31.31,13:25.30,12:24.40,19:58.26,42:21.01,657
8:18.19,11:31.69,13:25.83,12:24.82,19:58.95,42:22.50,656
8:18.48,11:32.08,13:26.37,12:25.24,19:59.64,42:24.00,655
8:18.77,11:32.47,13:26.91,12:25.66,20:00.33,42:25.49,654
8:19.06,11:32.86,13:27.45,12:26.08,20:01.01,42:26.98,653
8:19.35,11:33.25,13:27.98,12:26.50,20:01.70,42:28.48,652
8:19.64,11:33.64,13:28.52,12:26.92,20:02.39,42:29.98,651
8:19.94,11:34.02,13:29.06,12:27.35,20:03.08,42:31.48,650
8:20.23,11:34.41,13:29.60,12:27.77,20:03.77,42:32.97,649
8:20.52,11:34.80,13:30.14,12:28.19,20:04.46,42:34.48,648
8:20.81,11:35.19,13:30.68,12:28.61,20:05.15,42:35.98,647
8:21.11,11:35.58,13:31.22,12:29.04,20:05.84,42:37.48,646
8:21.40,11:35.97,13:31.76,12:29.46,20:06.54,42:38.98,645
8:21.69,11:36.37,13:32.30,12:29.89,20:07.23,42:40.49,644
8:21.99,11:36.76,13:32.85,12:30.31,20:07.92,42:42.00,643
8:22.28,11:37.15,13:33.39,12:30.74,20:08.62,42:43.50,642
8:22.58,11:37.54,13:33.93,12:31.16,20:09.31,42:45.01,641
8:22.87,11:37.93,13:34.47,12:31.59,20:10.01,42:46.52,640
8:23.17,11:38.32,13:35.02,12:32.01,20:10.70,42:48.03,639
8:23.46,11:38.72,13:35.56,12:32.44,20:11.40,42:49.55,638
8:23.76,11:39.11,13:36.11,12:32.86,20:12.10,42:51.06,637
8:24.05,11:39.50,13:36.65,12:33.29,20:12.79,42:52.57,636
8:24.35,11:39.90,13:37.20,12:33.72,20:13.49,42:54.09,635
8:24.64,11:40.29,13:37.74,12:34.14,20:14.19,42:55.61,634
8:24.94,11:40.68,13:38.29,12:34.57,20:14.89,42:57.12,633
8:25.24,11:41.08,13:38.83,12:35.00,20:15.59,42:58.64,632
8:25.53,11:41.47,13:39.38,12:35.43,20:16.29,43:00.16,631
8:25.83,11:41.87,13:39.93,12:35.86,20:16.99,43:01.69,630
8:26.13,11:42.26,13:40.48,12:36.29,20:17.69,43:03.21,629
8:26.42,11:42.66,13:41.03,12:36.72,20:18.39,43:04.73,628
8:26.72,11:43.06,13:41.57,12:37.15,20:19.09,43:06.26,627
8:27.02,11:43.45,13:42.12,12:37.58,20:19.79,43:07.79,626
8:27.32,11:43.85,13:42.67,12:38.01,20:20.50,43:09.31,625
8:27.62,11:44.25,13:43.22,12:38.44,20:21.20,43:10.84,624
8:27.91,11:44.64,13:43.77,12:38.87,20:21.91,43:12.37,623
8:28.21,11:45.04,13:44.32,12:39.30,20:22.61,43:13.91,622
8:28.51,11:45.44,13:44.88,12:39.73,20:23.32,43:15.44,621
8:28.81,11:45.84,13:45.43,12:40.16,20:24.02,43:16.97,620
8:29.11,11:46.24,13:45.98,12:40.60,20:24.73,43:18.51,619
8:29.41,11:46.64,13:46.53,12:41.03,20:25.44,43:20.04,618
8:29.71,11:47.04,13:47.09,12:41.46,20:26.14,43:21.58,617
8:30.01,11:47.44,13:47.64,12:41.90,20:26.85,43:23.12,616
8:30.31,11:47.84,13:48.19,12:42.33,20:27.56,43:24.66,615
8:30.61,11:48.24,13:48.75,12:42.76,20:28.27,43:26.20,614
8:30.91,11:48.64,13:49.30,12:43.20,20:28.98,43:27.75,613
8:31.21,11:49.04,13:49.86,12:43.63,20:29.69,43:29.29,612
8:31.51,11:49.44,13:50.41,12:44.07,20:30.40,43:30.84,611
8:31.82,11:49.84,13:50.97,12:44.51,20:31.12,43:32.38,610
8:32.12,11:50.24,13:51.53,12:44.94,20:31.83,43:33.93,609
8:32.42,11:50.64,13:52.09,12:45.38,20:32.54,43:35.48,608
8:32.72,11:51.05,13:52.64,12:45.81,20:33.26,43:37.03,607
8:33.03,11:51.45,13:53.20,12:46.25,20:33.97,43:38.58,606
8:33.33,11:51.85,13:53.76,12:46.69,20:34.68,43:40.13,605
8:33.63,11:52.26,13:54.32,12:47.13,20:35.40,43:41.69,604
8:33.93,11:52.66,13:54.88,12:47.57,20:36.12,43:43.24,603
8:34.24,11:53.06,13:55.44,12:48.00,20:36.83,43:44.80,602
8:34.54,11:53.47,13:56.00,12:48.44,20:37.55,43:46.36,601
8:34.85,11:53.87,13:56.56,12:48.88,20:38.27,43:47.92,600
8:35.15,11:54.28,13:57.12,12:49.32,20:38.99,43:49.48,599
8:35.46,11:54.68,13:57.68,12:49.76,20:39.70,43:51.04,598
8:35.76,11:55.09,13:58.25,12:50.20,20:40.42,43:52.60,597
8:36.07,11:55.50,13:58.81,12:50.64,20:41.14,43:54.17,596
8:36.37,11:55.90,13:59.37,12:51.08,20:41.87,43:55.73,595
8:36.68,11:56.31,13:59.94,12:51.53,20:42.59,43:57.30,594
8:36.98,11:56.72,14:00.50,12:51.97,20:43.31,43:58.87,593
8:37.29,11:57.13,14:01.06,12:52.41,20:44.03,44:00.44,592
8:37.60,11:57.53,14:01.63,12:52.85,20:44.75,44:02.01,591
8:37.90,11:57.94,14:02.20,12:53.30,20:45.48,44:03.58,590
8:38.21,11:58.35,14:02.76,12:53.74,20:46.20,44:05.16,589
8:38.52,11:58.76,14:03.33,12:54.18,20:46.93,44:06.73,588
8:38.82,11:59.17,14:03.90,12:54.63,20:47.65,44:08.31,587
8:39.13,11:59.58,14:04.46,12:55.07,20:48.38,44:09.89,586
8:39.44,11:59.99,14:05.03,12:55.52,20:49.11,44:11.47,585
8:39.75,12:00.40,14:05.60,12:55.96,20:49.83,44:13.05,584
8:40.06,12:00.81,14:06.17,12:56.41,20:50.56,44:14.63,583
8:40.37,12:01.22,14:06.74,12:56.85,20:51.29,44:16.21,582
8:40.67,12:01.63,14:07.31,12:57.30,20:52.02,44:17.80,581
8:40.98,12:02.04,14:07.88,12:57.75,20:52.75,44:19.38,580
8:41.29,12:02.46,14:08.45,12:58.19,20:53.48,44:20.97,579
8:41.60,12:02.87,14:09.02,12:58.64,20:54.21,44:22.56,578
8:41.91,12:03.28,14:09.59,12:59.09,20:54.95,44:24.15,577
8:42.22,12:03.70,14:10.17,12:59.54,20:55.68,44:25.74,576
8:42.53,12:04.11,14:10.74,12:59.99,20:56.41,44:27.33,575
8:42.85,12:04.52,14:11.31,13:00.44,20:57.15,44:28.93,574
8:43.16,12:04.94,14:11.89,13:00.89,20:57.88,44:30.52,573
8:43.47,12:05.35,14:12.46,13:01.34,20:58.61,44:32.12,572
8:43.78,12:05.77,14:13.04,13:01.79,20:59.35,44:33.72,571
8:44.09,12:06.18,14:13.61,13:02.24,21:00.09,44:35.32,570
8:44.40,12:06.60,14:14.19,13:02.69,21:00.82,44:36.92,569
8:44.72,12:07.01,14:14.76,13:03.14,21:01.56,44:38.52,568
8:45.03,12:07.43,14:15.34,13:03.59,21:02.30,44:40.13,567
8:45.34,12:07.85,14:15.92,13:04.04,21:03.04,44:41.73,566
8:45.66,12:08.27,14:16.50,13:04.50,21:03.78,44:43.34,565
8:45.97,12:08.68,14:17.08,13:04.95,21:04.52,44:44.95,564
8:46.28,12:09.10,14:17.65,13:05.40,21:05.26,44:46.56,563
8:46.60,12:09.52,14:18.23,13:05.86,21:06.00,44:48.17,562
8:46.91,12:09.94,14:18.81,13:06.31,21:06.74,44:49.78,561
8:47.23,12:10.36,14:19.39,13:06.77,21:07.49,44:51.40,560
8:47.54,12:10.78,14:19.98,13:07.22,21:08.23,44:53.01,559
8:47.86,12:11.20,14:20.56,13:07.68,21:08.98,44:54.63,558
8:48.17,12:11.62,14:21.14,13:08.13,21:09.72,44:56.25,557
8:48.49,12:12.04,14:21.72,13:08.59,21:10.47,44:57.87,556
8:48.81,12:12.46,14:22.31,13:09.05,21:11.21,44:59.49,555
8:49.12,12:12.88,14:22.89,13:09.50,21:11.96,45:01.11,554
8:49.44,12:13.30,14:23.47,13:09.96,21:12.71,45:02.74,553
8:49.76,12:13.72,14:24.06,13:10.42,21:13.46,45:04.36,552
