100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
13.00,15.79,26.57,43.13,1:01.04,1:07.95,52.59,1:51.49,4:13.26,803
,15.80,26.58,43.15,1:01.07,1:07.98,52.62,1:51.56,4:13.40,802
13.01,15.81,26.59,43.17,1:01.10,1:08.02,52.65,1:51.62,4:13.54,801
,15.82,26.61,43.19,1:01.13,1:08.06,52.67,1:51.68,4:13.68,800
13.02,15.83,26.62,43.21,1:01.16,1:08.10,52.70,1:51.74,4:13.83,799
13.03,15.84,26.63,43.23,1:01.19,1:08.14,52.73,1:51.81,4:13.97,798
,,26.64,43.25,1:01.22,1:08.18,52.76,1:51.87,4:14.11,797
13.04,15.85,26.65,43.27,1:01.25,1:08.22,52.79,1:51.93,4:14.25,796
,15.86,26.66,43.29,1:01.28,1:08.26,52.82,1:52.00,4:14.39,795
13.05,15.87,26.68,43.32,1:01.31,1:08.29,52.85,1:52.06,4:14.53,794
,15.88,26.69,43.34,1:01.34,1:08.33,52.87,1:52.12,4:14.68,793
13.06,15.89,26.70,43.36,1:01.37,1:08.37,52.90,1:52.18,4:14.82,792
13.07,15.90,26.71,43.38,1:01.40,1:08.41,52.93,1:52.25,4:14.96,791
,15.91,26.72,43.40,1:01.43,1:08.45,52.96,1:52.31,4:15.10,790
13.08,15.92,26.74,43.42,1:01.46,1:08.49,52.99,1:52.37,4:15.25,789
,,26.75,43.44,1:01.50,1:08.53,53.02,1:52.44,4:15.39,788
13.09,15.93,26.76,43.46,1:01.53,1:08.57,53.04,1:52.50,4:15.53,787
,15.94,26.77,43.49,1:01.56,1:08.61,53.07,1:52.56,4:15.67,786
13.10,15.95,26.78,43.51,1:01.59,1:08.65,53.10,1:52.63,4:15.82,785
,15.96,26.80,43.53,1:01.62,1:08.68,53.13,1:52.69,4:15.96,784
13.11,15.97,26.81,43.55,1:01.65,1:08.72,53.16,1:52.75,4:16.10,783
13.12,15.98,26.82,43.57,1:01.68,1:08.76,53.19,1:52.82,4:16.25,782
,15.99,26.83,43.59,1:01.71,1:08.80,53.22,1:52.88,4:16.39,781
13.13,16.00,26.84,43.61,1:01.74,1:08.84,53.24,1:52.94,4:16.53,780
,,26.85,43.64,1:01.77,1:08.88,53.27,1:53.01,4:16.67,779
13.14,16.01,26.87,43.66,1:01.80,1:08.92,53.30,1:53.07,4:16.82,778
,16.02,26.88,43.68,1:01.83,1:08.96,53.33,1:53.13,4:16.96,777
13.15,16.03,26.89,43.70,1:01.87,1:09.00,53.36,1:53.20,4:17.11,776
13.16,16.04,26.90,43.72,1:01.90,1:09.04,53.39,1:53.26,4:17.25,775
,16.05,26.91,43.74,1:01.93,1:09.08,53.42,1:53.32,4:17.39,774
13.17,16.06,26.93,43.76,1:01.96,1:09.12,53.45,1:53.39,4:17.54,773
,16.07,26.94,43.79,1:01.99,1:09.16,53.48,1:53.45,4:17.68,772
13.18,16.08,26.95,43.81,1:02.02,1:09.19,53.50,1:53.52,4:17.82,771
,16.09,26.96,43.83,1:02.05,1:09.23,53.53,1:53.58,4:17.97,770
13.19,,26.97,43.85,1:02.08,1:09.27,53.56,1:53.64,4:18.11,769
13.20,16.10,26.99,43.87,1:02.11,1:09.31,53.59,1:53.71,4:18.26,768
,16.11,27.00,43.89,1:02.15,1:09.35,53.62,1:53.77,4:18.40,767
13.21,16.12,27.01,43.92,1:02.18,1:09.39,53.65,1:53.84,4:18.55,766
,16.13,27.02,43.94,1:02.21,1:09.43,53.68,1:53.90,4:18.69,765
13.22,16.14,27.04,43.96,1:02.24,1:09.47,53.71,1:53.96,4:18.84,764
,16.15,27.05,43.98,1:02.27,1:09.51,53.74,1:54.03,4:18.98,763
13.23,16.16,27.06,44.00,1:02.30,1:09.55,53.76,1:54.09,4:19.12,762
13.24,16.17,27.07,44.02,1:02.33,1:09.59,53.79,1:54.16,4:19.27,761
,16.18,27.08,44.04,1:02.36,1:09.63,53.82,1:54.22,4:19.41,760
13.25,16.19,27.10,44.07,1:02.40,1:09.67,53.85,1:54.29,4:19.56,759
,,27.11,44.09,1:02.43,1:09.71,53.88,1:54.35,4:19.71,758
13.26,16.20,27.12,44.11,1:02.46,1:09.75,53.91,1:54.41,4:19.85,757
13.27,16.21,27.13,44.13,1:02.49,1:09.79,53.94,1:54.48,4:20.00,756
,16.22,27.14,44.15,1:02.52,1:09.83,53.97,1:54.54,4:20.14,755
13.28,16.23,27.16,44.18,1:02.55,1:09.87,54.00,1:54.61,4:20.29,754
,16.24,27.17,44.20,1:02.58,1:09.91,54.03,1:54.67,4:20.43,753
13.29,16.25,27.18,44.22,1:02.62,1:09.95,54.06,1:54.74,4:20.58,752
,16.26,27.19,44.24,1:02.65,1:09.99,54.08,1:54.80,4:20.72,751
13.30,16.27,27.21,44.26,1:02.68,1:10.03,54.11,1:54.87,4:20.87,750
13.31,16.28,27.22,44.28,1:02.71,1:10.07,54.14,1:54.93,4:21.02,749
,16.29,27.23,44.31,1:02.74,1:10.11,54.17,1:55.00,4:21.16,748
13.32,16.30,27.24,44.33,1:02.77,1:10.15,54.20,1:55.06,4:21.31,747
,,27.25,44.35,1:02.81,1:10.19,54.23,1:55.13,4:21.46,746
13.33,16.31,27.27,44.37,1:02.84,1:10.23,54.26,1:55.19,4:21.60,745
,16.32,27.28,44.39,1:02.87,1:10.27,54.29,1:55.26,4:21.75,744
13.34,16.33,27.29,44.42,1:02.90,1:10.31,54.32,1:55.32,4:21.90,743
13.35,16.34,27.30,44.44,1:02.93,1:10.35,54.35,1:55.39,4:22.04,742
,16.35,27.32,44.46,1:02.96,1:10.39,54.38,1:55.45,4:22.19,741
13.36,16.36,27.33,44.48,1:03.00,1:10.43,54.41,1:55.52,4:22.34,740
,16.37,27.34,44.50,1:03.03,1:10.47,54.44,1:55.58,4:22.48,739
13.37,16.38,27.35,44.53,1:03.06,1:10.51,54.47,1:55.65,4:22.63,738
13.38,16.39,27.36,44.55,1:03.09,1:10.55,54.50,1:55.71,4:22.78,737
,16.40,27.38,44.57,1:03.12,1:10.59,54.53,1:55.78,4:22.93,736
13.39,16.41,27.39,44.59,1:03.15,1:10.63,54.55,1:55.84,4:23.07,735
,,27.40,44.61,1:03.19,1:10.67,54.58,1:55.91,4:23.22,734
13.40,16.42,27.41,44.64,1:03.22,1:10.71,54.61,1:55.97,4:23.37,733
,16.43,27.43,44.66,1:03.25,1:10.75,54.64,1:56.04,4:23.52,732
13.41,16.44,27.44,44.68,1:03.28,1:10.79,54.67,1:56.10,4:23.66,731
13.42,16.45,27.45,44.70,1:03.31,1:10.83,54.70,1:56.17,4:23.81,730
,16.46,27.46,44.72,1:03.35,1:10.87,54.73,1:56.24,4:23.96,729
13.43,16.47,27.48,44.75,1:03.38,1:10.91,54.76,1:56.30,4:24.11,728
,16.48,27.49,44.77,1:03.41,1:10.96,54.79,1:56.37,4:24.26,727
13.44,16.49,27.50,44.79,1:03.44,1:11.00,54.82,1:56.43,4:24.41,726
13.45,16.50,27.51,44.81,1:03.47,1:11.04,54.85,1:56.50,4:24.55,725
,16.51,27.52,44.83,1:03.51,1:11.08,54.88,1:56.56,4:24.70,724
13.46,16.52,27.54,44.86,1:03.54,1:11.12,54.91,1:56.63,4:24.85,723
,16.53,27.55,44.88,1:03.57,1:11.16,54.94,1:56.70,4:25.00,722
13.47,16.54,27.56,44.90,1:03.60,1:11.20,54.97,1:56.76,4:25.15,721
13.48,,27.57,44.92,1:03.63,1:11.24,55.00,1:56.83,4:25.30,720
,16.55,27.59,44.95,1:03.67,1:11.28,55.03,1:56.89,4:25.45,719
13.49,16.56,27.60,44.97,1:03.70,1:11.32,55.06,1:56.96,4:25.60,718
,16.57,27.61,44.99,1:03.73,1:11.36,55.09,1:57.03,4:25.75,717
13.50,16.58,27.62,45.01,1:03.76,1:11.40,55.12,1:57.09,4:25.90,716
13.51,16.59,27.64,45.04,1:03.80,1:11.44,55.15,1:57.16,4:26.04,715
,16.60,27.65,45.06,1:03.83,1:11.49,55.18,1:57.23,4:26.19,714
13.52,16.61,27.66,45.08,1:03.86,1:11.53,55.21,1:57.29,4:26.34,713
,16.62,27.67,45.10,1:03.89,1:11.57,55.24,1:57.36,4:26.49,712
13.53,16.63,27.69,45.12,1:03.93,1:11.61,55.27,1:57.43,4:26.64,711
,16.64,27.70,45.15,1:03.96,1:11.65,55.30,1:57.49,4:26.79,710
13.54,16.65,27.71,45.17,1:03.99,1:11.69,55.33,1:57.56,4:26.94,709
13.55,16.66,27.72,45.19,1:04.02,1:11.73,55.36,1:57.63,4:27.09,708
,16.67,27.74,45.21,1:04.06,1:11.77,55.39,1:57.69,4:27.25,707
13.56,16.68,27.75,45.24,1:04.09,1:11.81,55.42,1:57.76,4:27.40,706
,16.69,27.76,45.26,1:04.12,1:11.86,55.45,1:57.83,4:27.55,705
13.57,16.70,27.77,45.28,1:04.15,1:11.90,55.48,1:57.89,4:27.70,704
13.58,,27.79,45.30,1:04.19,1:11.94,55.51,1:57.96,4:27.85,703
,16.71,27.80,45.33,1:04.22,1:11.98,55.54,1:58.03,4:28.00,702
13.59,16.72,27.81,45.35,1:04.25,1:12.02,55.57,1:58.09,4:28.15,701
,16.73,27.83,45.37,1:04.28,1:12.06,55.60,1:58.16,4:28.30,700
13.60,16.74,27.84,45.39,1:04.32,1:12.10,55.63,1:58.23,4:28.45,699
13.61,16.75,27.85,45.42,1:04.35,1:12.14,55.66,1:58.29,4:28.60,698
,16.76,27.86,45.44,1:04.38,1:12.19,55.69,1:58.36,4:28.76,697
13.62,16.77,27.88,45.46,1:04.41,1:12.23,55.72,1:58.43,4:28.91,696
,16.78,27.89,45.49,1:04.45,1:12.27,55.75,1:58.50,4:29.06,695
13.63,16.79,27.90,45.51,1:04.48,1:12.31,55.78,1:58.56,4:29.21,694
13.64,16.80,27.91,45.53,1:04.51,1:12.35,55.81,1:58.63,4:29.36,693
,16.81,27.93,45.55,1:04.55,1:12.39,55.84,1:58.70,4:29.51,692
13.65,16.82,27.94,45.58,1:04.58,1:12.44,55.88,1:58.77,4:29.67,691
,16.83,27.95,45.60,1:04.61,1:12.48,55.91,1:58.83,4:29.82,690
13.66,16.84,27.96,45.62,1:04.64,1:12.52,55.94,1:58.90,4:29.97,689
13.67,16.85,27.98,45.64,1:04.68,1:12.56,55.97,1:58.97,4:30.12,688
,16.86,27.99,45.67,1:04.71,1:12.60,56.00,1:59.04,4:30.28,687
13.68,16.87,28.00,45.69,1:04.74,1:12.64,56.03,1:59.10,4:30.43,686
13.69,16.88,28.02,45.71,1:04.78,1:12.69,56.06,1:59.17,4:30.58,685
,16.89,28.03,45.74,1:04.81,1:12.73,56.09,1:59.24,4:30.73,684
13.70,16.90,28.04,45.76,1:04.84,1:12.77,56.12,1:59.31,4:30.89,683
,,28.05,45.78,1:04.87,1:12.81,56.15,1:59.37,4:31.04,682
13.71,16.91,28.07,45.80,1:04.91,1:12.85,56.18,1:59.44,4:31.19,681
13.72,16.92,28.08,45.83,1:04.94,1:12.90,56.21,1:59.51,4:31.35,680
,16.93,28.09,45.85,1:04.97,1:12.94,56.24,1:59.58,4:31.50,679
13.73,16.94,28.11,45.87,1:05.01,1:12.98,56.27,1:59.65,4:31.65,678
,16.95,28.12,45.90,1:05.04,1:13.02,56.30,1:59.71,4:31.81,677
13.74,16.96,28.13,45.92,1:05.07,1:13.06,56.33,1:59.78,4:31.96,676
13.75,16.97,28.14,45.94,1:05.11,1:13.11,56.37,1:59.85,4:32.12,675
,16.98,28.16,45.97,1:05.14,1:13.15,56.40,1:59.92,4:32.27,674
13.76,16.99,28.17,45.99,1:05.17,1:13.19,56.43,1:59.99,4:32.42,673
,17.00,28.18,46.01,1:05.21,1:13.23,56.46,2:00.06,4:32.58,672
13.77,17.01,28.20,46.03,1:05.24,1:13.27,56.49,2:00.12,4:32.73,671
13.78,17.02,28.21,46.06,1:05.27,1:13.32,56.52,2:00.19,4:32.89,670
,17.03,28.22,46.08,1:05.31,1:13.36,56.55,2:00.26,4:33.04,669
13.79,17.04,28.23,46.10,1:05.34,1:13.40,56.58,2:00.33,4:33.20,668
13.80,17.05,28.25,46.13,1:05.37,1:13.44,56.61,2:00.40,4:33.35,667
,17.06,28.26,46.15,1:05.41,1:13.49,56.64,2:00.47,4:33.51,666
13.81,17.07,28.27,46.17,1:05.44,1:13.53,56.68,2:00.54,4:33.66,665
,17.08,28.29,46.20,1:05.47,1:13.57,56.71,2:00.60,4:33.82,664
13.82,17.09,28.30,46.22,1:05.51,1:13.61,56.74,2:00.67,4:33.97,663
13.83,17.10,28.31,46.24,1:05.54,1:13.66,56.77,2:00.74,4:34.13,662
,17.11,28.32,46.27,1:05.58,1:13.70,56.80,2:00.81,4:34.28,661
13.84,17.12,28.34,46.29,1:05.61,1:13.74,56.83,2:00.88,4:34.44,660
,17.13,28.35,46.31,1:05.64,1:13.78,56.86,2:00.95,4:34.59,659
13.85,17.14,28.36,46.34,1:05.68,1:13.83,56.89,2:01.02,4:34.75,658
13.86,17.15,28.38,46.36,1:05.71,1:13.87,56.92,2:01.09,4:34.91,657
,17.16,28.39,46.38,1:05.74,1:13.91,56.96,2:01.16,4:35.06,656
13.87,17.17,28.40,46.41,1:05.78,1:13.96,56.99,2:01.23,4:35.22,655
13.88,17.18,28.42,46.43,1:05.81,1:14.00,57.02,2:01.30,4:35.37,654
,17.19,28.43,46.45,1:05.84,1:14.04,57.05,2:01.36,4:35.53,653
13.89,17.20,28.44,46.48,1:05.88,1:14.08,57.08,2:01.43,4:35.69,652
,17.21,28.45,46.50,1:05.91,1:14.13,57.11,2:01.50,4:35.84,651
13.90,17.22,28.47,46.52,1:05.95,1:14.17,57.14,2:01.57,4:36.00,650
13.91,17.23,28.48,46.55,1:05.98,1:14.21,57.18,2:01.64,4:36.16,649
,17.24,28.49,46.57,1:06.01,1:14.26,57.21,2:01.71,4:36.32,648
13.92,,28.51,46.59,1:06.05,1:14.30,57.24,2:01.78,4:36.47,647
13.93,17.25,28.52,46.62,1:06.08,1:14.34,57.27,2:01.85,4:36.63,646
,17.26,28.53,46.64,1:06.12,1:14.38,57.30,2:01.92,4:36.79,645
13.94,17.27,28.55,46.66,1:06.15,1:14.43,57.33,2:01.99,4:36.95,644
,17.28,28.56,46.69,1:06.18,1:14.47,57.36,2:02.06,4:37.10,643
13.95,17.29,28.57,46.71,1:06.22,1:14.51,57.40,2:02.13,4:37.26,642
13.96,17.30,28.59,46.73,1:06.25,1:14.56,57.43,2:02.20,4:37.42,641
,17.31,28.60,46.76,1:06.29,1:14.60,57.46,2:02.27,4:37.58,640
13.97,17.32,28.61,46.78,1:06.32,1:14.64,57.49,2:02.34,4:37.74,639
13.98,17.33,28.63,46.81,1:06.35,1:14.69,57.52,2:02.41,4:37.89,638
,17.34,28.64,46.83,1:06.39,1:14.73,57.55,2:02.48,4:38.05,637
13.99,17.35,28.65,46.85,1:06.42,1:14.77,57.59,2:02.55,4:38.21,636
,17.36,28.67,46.88,1:06.46,1:14.82,57.62,2:02.62,4:38.37,635
14.00,17.37,28.68,46.90,1:06.49,1:14.86,57.65,2:02.69,4:38.53,634
14.01,17.38,28.69,46.92,1:06.53,1:14.90,57.68,2:02.76,4:38.69,633
,17.39,28.71,46.95,1:06.56,1:14.95,57.71,2:02.83,4:38.85,632
14.02,17.40,28.72,46.97,1:06.59,1:14.99,57.75,2:02.90,4:39.01,631
14.03,17.41,28.73,46.99,1:06.63,1:15.03,57.78,2:02.98,4:39.16,630
,17.42,28.75,47.02,1:06.66,1:15.08,57.81,2:03.05,4:39.32,629
14.04,17.43,28.76,47.04,1:06.70,1:15.12,57.84,2:03.12,4:39.48,628
,17.44,28.77,47.07,1:06.73,1:15.17,57.87,2:03.19,4:39.64,627
14.05,17.45,28.79,47.09,1:06.77,1:15.21,57.91,2:03.26,4:39.80,626
14.06,17.46,28.80,47.11,1:06.80,1:15.25,57.94,2:03.33,4:39.96,625
,17.47,28.81,47.14,1:06.84,1:15.30,57.97,2:03.40,4:40.12,624
14.07,17.48,28.83,47.16,1:06.87,1:15.34,58.00,2:03.47,4:40.28,623
14.08,17.49,28.84,47.19,1:06.91,1:15.38,58.03,2:03.54,4:40.44,622
,17.50,28.85,47.21,1:06.94,1:15.43,58.07,2:03.61,4:40.60,621
14.09,17.51,28.87,47.23,1:06.97,1:15.47,58.10,2:03.68,4:40.76,620
14.10,17.52,28.88,47.26,1:07.01,1:15.52,58.13,2:03.76,4:40.93,619
,17.53,28.89,47.28,1:07.04,1:15.56,58.16,2:03.83,4:41.09,618
14.11,17.54,28.91,47.31,1:07.08,1:15.60,58.19,2:03.90,4:41.25,617
,17.55,28.92,47.33,1:07.11,1:15.65,58.23,2:03.97,4:41.41,616
14.12,17.56,28.93,47.35,1:07.15,1:15.69,58.26,2:04.04,4:41.57,615
14.13,17.57,28.95,47.38,1:07.18,1:15.74,58.29,2:04.11,4:41.73,614
,17.58,28.96,47.40,1:07.22,1:15.78,58.32,2:04.18,4:41.89,613
14.14,17.59,28.97,47.43,1:07.25,1:15.83,58.36,2:04.26,4:42.05,612
14.15,17.60,28.99,47.45,1:07.29,1:15.87,58.39,2:04.33,4:42.22,611
,17.61,29.00,47.48,1:07.32,1:15.91,58.42,2:04.40,4:42.38,610
14.16,17.63,29.01,47.50,1:07.36,1:15.96,58.45,2:04.47,4:42.54,609
14.17,17.64,29.03,47.52,1:07.39,1:16.00,58.49,2:04.54,4:42.70,608
,17.65,29.04,47.55,1:07.43,1:16.05,58.52,2:04.62,4:42.86,607
14.18,17.66,29.05,47.57,1:07.46,1:16.09,58.55,2:04.69,4:43.03,606
14.19,17.67,29.07,47.60,1:07.50,1:16.14,58.58,2:04.76,4:43.19,605
,17.68,29.08,47.62,1:07.53,1:16.18,58.62,2:04.83,4:43.35,604
14.20,17.69,29.10,47.64,1:07.57,1:16.23,58.65,2:04.90,4:43.52,603
,17.70,29.11,47.67,1:07.60,1:16.27,58.68,2:04.98,4:43.68,602
14.21,17.71,29.12,47.69,1:07.64,1:16.31,58.71,2:05.05,4:43.84,601
14.22,17.72,29.14,47.72,1:07.67,1:16.36,58.75,2:05.12,4:44.00,600
,17.73,29.15,47.74,1:07.71,1:16.40,58.78,2:05.19,4:44.17,599
14.23,17.74,29.16,47.77,1:07.74,1:16.45,58.81,2:05.27,4:44.33,598
14.24,17.75,29.18,47.79,1:07.78,1:16.49,58.84,2:05.34,4:44.50,597
,17.76,29.19,47.82,1:07.82,1:16.54,58.88,2:05.41,4:44.66,596
14.25,17.77,29.20,47.84,1:07.85,1:16.58,58.91,2:05.48,4:44.82,595
14.26,17.78,29.22,47.86,1:07.89,1:16.63,58.94,2:05.56,4:44.99,594
,17.79,29.23,47.89,1:07.92,1:16.67,58.98,2:05.63,4:45.15,593
14.27,17.80,29.25,47.91,1:07.96,1:16.72,59.01,2:05.70,4:45.32,592
14.28,17.81,29.26,47.94,1:07.99,1:16.76,59.04,2:05.77,4:45.48,591
,17.82,29.27,47.96,1:08.03,1:16.81,59.08,2:05.85,4:45.64,590
14.29,17.83,29.29,47.99,1:08.06,1:16.85,59.11,2:05.92,4:45.81,589
14.30,17.84,29.30,48.01,1:08.10,1:16.90,59.14,2:05.99,4:45.97,588
,17.85,29.31,48.04,1:08.14,1:16.94,59.17,2:06.07,4:46.14,587
14.31,17.86,29.33,48.06,1:08.17,1:16.99,59.21,2:06.14,4:46.30,586
14.32,17.87,29.34,48.09,1:08.21,1:17.03,59.24,2:06.21,4:46.47,585
,17.88,29.36,48.11,1:08.24,1:17.08,59.27,2:06.29,4:46.64,584
14.33,17.89,29.37,48.14,1:08.28,1:17.12,59.31,2:06.36,4:46.80,583
14.34,17.90,29.38,48.16,1:08.31,1:17.17,59.34,2:06.43,4:46.97,582
,17.91,29.40,48.19,1:08.35,1:17.22,59.37,2:06.51,4:47.13,581
14.35,17.92,29.41,48.21,1:08.39,1:17.26,59.41,2:06.58,4:47.30,580
14.36,17.93,29.42,48.23,1:08.42,1:17.31,59.44,2:06.65,4:47.46,579
,17.94,29.44,48.26,1:08.46,1:17.35,59.47,2:06.73,4:47.63,578
14.37,17.95,29.45,48.28,1:08.49,1:17.40,59.51,2:06.80,4:47.80,577
,17.96,29.47,48.31,1:08.53,1:17.44,59.54,2:06.88,4:47.96,576
14.38,17.98,29.48,48.33,1:08.57,1:17.49,59.57,2:06.95,4:48.13,575
14.39,17.99,29.49,48.36,1:08.60,1:17.53,59.61,2:07.02,4:48.30,574
,18.00,29.51,48.38,1:08.64,1:17.58,59.64,2:07.10,4:48.47,573
14.40,18.01,29.52,48.41,1:08.67,1:17.63,59.67,2:07.17,4:48.63,572
14.41,18.02,29.54,48.43,1:08.71,1:17.67,59.71,2:07.25,4:48.80,571
,18.03,29.55,48.46,1:08.75,1:17.72,59.74,2:07.32,4:48.97,570
14.42,18.04,29.56,48.48,1:08.78,1:17.76,59.77,2:07.39,4:49.13,569
14.43,18.05,29.58,48.51,1:08.82,1:17.81,59.81,2:07.47,4:49.30,568
,18.06,29.59,48.53,1:08.85,1:17.86,59.84,2:07.54,4:49.47,567
14.44,18.07,29.61,48.56,1:08.89,1:17.90,59.87,2:07.62,4:49.64,566
14.45,18.08,29.62,48.58,1:08.93,1:17.95,59.91,2:07.69,4:49.81,565
,18.09,29.63,48.61,1:08.96,1:17.99,59.94,2:07.77,4:49.98,564
14.46,18.10,29.65,48.64,1:09.00,1:18.04,59.98,2:07.84,4:50.14,563
14.47,18.11,29.66,48.66,1:09.04,1:18.09,1:00.01,2:07.92,4:50.31,562
,18.12,29.68,48.69,1:09.07,1:18.13,1:00.04,2:07.99,4:50.48,561
14.48,18.13,29.69,48.71,1:09.11,1:18.18,1:00.08,2:08.07,4:50.65,560
14.49,18.14,29.70,48.74,1:09.15,1:18.22,1:00.11,2:08.14,4:50.82,559
,18.15,29.72,48.76,1:09.18,1:18.27,1:00.15,2:08.22,4:50.99,558
14.50,18.16,29.73,48.79,1:09.22,1:18.32,1:00.18,2:08.29,4:51.16,557
14.51,18.18,29.75,48.81,1:09.26,1:18.36,1:00.21,2:08.37,4:51.33,556
14.52,18.19,29.76,48.84,1:09.29,1:18.41,1:00.25,2:08.44,4:51.50,555
,18.20,29.78,48.86,1:09.33,1:18.46,1:00.28,2:08.52,4:51.67,554
14.53,18.21,29.79,48.89,1:09.37,1:18.50,1:00.32,2:08.59,4:51.84,553
14.54,18.22,29.80,48.91,1:09.40,1:18.55,1:00.35,2:08.67,4:52.01,552
,18.23,29.82,48.94,1:09.44,1:18.60,1:00.38,2:08.74,4:52.18,551
14.55,18.24,29.83,48.96,1:09.48,1:18.64,1:00.42,2:08.82,4:52.35,550
14.56,18.25,29.85,48.99,1:09.51,1:18.69,1:00.45,2:08.89,4:52.52,549
,18.26,29.86,49.02,1:09.55,1:18.74,1:00.49,2:08.97,4:52.69,548
14.57,18.27,29.88,49.04,1:09.59,1:18.78,1:00.52,2:09.05,4:52.86,547
14.58,18.28,29.89,49.07,1:09.62,1:18.83,1:00.55,2:09.12,4:53.03,546
,18.29,29.90,49.09,1:09.66,1:18.88,1:00.59,2:09.20,4:53.20,545
14.59,18.30,29.92,49.12,1:09.70,1:18.92,1:00.62,2:09.27,4:53.37,544
14.60,18.31,29.93,49.14,1:09.73,1:18.97,1:00.66,2:09.35,4:53.55,543
,18.33,29.95,49.17,1:09.77,1:19.02,1:00.69,2:09.43,4:53.72,542
14.61,18.34,29.96,49.19,1:09.81,1:19.06,1:00.73,2:09.50,4:53.89,541
14.62,18.35,29.98,49.22,1:09.85,1:19.11,1:00.76,2:09.58,4:54.06,540
,18.36,29.99,49.25,1:09.88,1:19.16,1:00.80,2:09.66,4:54.23,539
14.63,18.37,30.00,49.27,1:09.92,1:19.21,1:00.83,2:09.73,4:54.41,538
14.64,18.38,30.02,49.30,1:09.96,1:19.25,1:00.86,2:09.81,4:54.58,537
,18.39,30.03,49.32,1:10.00,1:19.30,1:00.90,2:09.88,4:54.75,536
14.65,18.40,30.05,49.35,1:10.03,1:19.35,1:00.93,2:09.96,4:54.92,535
14.66,18.41,30.06,49.38,1:10.07,1:19.40,1:00.97,2:10.04,4:55.10,534
,18.42,30.08,49.40,1:10.11,1:19.44,1:01.00,2:10.11,4:55.27,533
14.67,18.43,30.09,49.43,1:10.14,1:19.49,1:01.04,2:10.19,4:55.44,532
14.68,18.44,30.11,49.45,1:10.18,1:19.54,1:01.07,2:10.27,4:55.62,531
14.69,18.46,30.12,49.48,1:10.22,1:19.59,1:01.11,2:10.35,4:55.79,530
,18.47,30.13,49.50,1:10.26,1:19.63,1:01.14,2:10.42,4:55.97,529
14.70,18.48,30.15,49.53,1:10.29,1:19.68,1:01.18,2:10.50,4:56.14,528
14.71,18.49,30.16,49.56,1:10.33,1:19.73,1:01.21,2:10.58,4:56.31,527
,18.50,30.18,49.58,1:10.37,1:19.78,1:01.25,2:10.65,4:56.49,526
